doc_id,title,content,0 - relevant - maowenxin2014@163.com,0 - relevant - minj,1 - Adaptation - maowenxin2014@163.com,1 - Adaptation - minj,1 - Mitigation - maowenxin2014@163.com,1 - Mitigation - minj,2 - Governance & policies - maowenxin2014@163.com,2 - Governance & policies - minj,3 - Economic instruments - maowenxin2014@163.com,3 - Economic instruments - minj,3 - Goal setting - minj,3 - Information policies - maowenxin2014@163.com,3 - Information policies - minj,3 - International policies - maowenxin2014@163.com,3 - International policies - minj,3 - Planning and public provisioning/services - maowenxin2014@163.com,3 - Planning and public provisioning/services - minj,3 - Regulatory instruments - maowenxin2014@163.com,3 - Regulatory instruments - minj,3 - Voluntary actions - maowenxin2014@163.com,3 - Voluntary actions - minj,4 - Emissions trading  - maowenxin2014@163.com,4 - Emissions trading  - minj,4 - Feed in tariffs - minj,4 - Financial mechanisms - maowenxin2014@163.com,4 - Financial regulation & insurance - maowenxin2014@163.com,4 - Infrastructure policy & management - maowenxin2014@163.com,4 - Infrastructure policy & management - minj,4 - Innovation policies - maowenxin2014@163.com,4 - Innovation policies - minj,4 - International agreements - maowenxin2014@163.com,"4 - Investments, credits and loans - maowenxin2014@163.com",4 - Labeling and certificates /Consumption and production choices - maowenxin2014@163.com,4 - Legal frameworks and implementation - maowenxin2014@163.com,4 - Other governance services or programs - maowenxin2014@163.com,4 - Other voluntary actions - maowenxin2014@163.com,4 - Public information/ awareness campaigns - maowenxin2014@163.com,"4 - Rationing, bans & moratoria - maowenxin2014@163.com",4 - Reports and assessments/ monitoring and evaluation - maowenxin2014@163.com,4 - Subsidy/compensation/ allowance - maowenxin2014@163.com,4 - Tax - maowenxin2014@163.com,4 - Tax - minj,5 - Company & organizations - maowenxin2014@163.com,5 - Local - maowenxin2014@163.com,5 - National - maowenxin2014@163.com,5 - Sub-national/ regional - maowenxin2014@163.com,5 - Supranational & international - maowenxin2014@163.com
738460,Offsetting benefits? Analyzing access to forest carbon,"Emissions trading has created new forms of exchangeable property which become commodities when traded in markets designed to reduce greenhouse-gas emissions and mitigate climate change. This paper analyzes a set of social processes which influence who benefits from reductions in emissions generated by primary production from forest ecosystems. Informed by commodification literature, and property and access theory, we suggest that farmers and rural communities cannot derive full benefits from carbon sequestration because they lack key structural and relational mechanisms, such as capital, knowledge, expertise, technology, and, in some cases, even labour. We illustrate this argument by examining three ongoing carbon-forestry projects in China, Ecuador, and Mexico and we highlight its implications for future forestry mitigation projects and programmes.",1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40091,"An overview of the science-policy interface among climate change, biodiversity, and terrestrial land use for production landscapes","Global progress in addressing climate change through mitigation and adaptation has been slow, although policy tools are available and most countries now have some climate change policies. Climate change represents a tragedy of the commons caused by all humans, but one for which the damage is slow to accumulate and cannot be readily identified as coming from a single source. As a result, politicians are slow to act. The UNFCCC (United Nations Framework Convention on Climate Change) has had minor achievements over 21 years, although the recent mitigation decision on REDD+ (reducing emissions from forest degradation and deforestation) recognizes the roles that eliminating deforestation and forest degradation and improving agriculture can play in mitigating climate change. The Cancun Agreement also states that, for mitigation to be effective, adaptation is needed. There is a strong body of literature linking biodiversity to ecosystem resilience and goods and services. Any policies dealing with mitigation and adaptation must consider the important role of biodiversity in terrestrial system recovery and management, including forests, agro-forests, and agricultural systems. In production landscapes, policies need to consider the large landscape scale and be cross-sectoral in application, including among forest, agriculture, transportation, energy, and human health sectors. Finally, local ecological knowledge and scientific information should form the basis for such policies.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1291618,"Effect of carbon tax on the industrial competitiveness of Chongqing, China","As one of the most cost-effective means of carbon emission reduction, carbon tax has attracted considerable attention from economists and international organizations. This study applied a two-region dynamic computable general equilibrium (CGE) model to discover how differentiated carbon taxes among regions would affect the competitiveness of local industries, taking an inland city-Chongqing in China-as an example. The results show that when carbon tax is implemented, it can effectively decrease carbon emissions and intensity, and achieve China's Nationally Determined Contribution target by 2030. It will, however, also have varied effects on the macroeconomy, with GDP losses of 1.54% to 2.5%. Meanwhile, industrial competitiveness in Chongqing will be affected heterogeneously. When Chongqing's tax level is higher than the rest of China, agriculture, textile, food, transport equipment, machinery, and electronics sectors will benefit from increased output activity. Meanwhile, paper, chemicals, nonmetal production, and metal smelting will suffer output losses. Such varied sectoral effects can be explained by two effects-price effect and scale effect-in three markets: domestic, interprovincial, and foreign. Finally, based on China's practical situation, this paper makes policy suggestions that could mitigate the negative effects of carbon tax. (C) 2018 International Energy Initiative. Published by Elsevier Inc. All rights reserved.",,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
187387,The liability rules under international GHG emissions trading,"Article 17 or the Kyoto Protocol authorizes emissions trading, but the rules governing emissions trading have been deferred to subsequent conferences. in designing and implementing an international greenhouse gas (GHG) emissions trading scheme, assigning liability rules has been considered to be one of the most challenging issues. In general, a seller-beware liability works well in a strong enforcement environment. In the Kyoto Protocol, however, it may not always work. By contrast, a buyer-beware liability could be an effective deterrent to non-compliance, but the costs of imposing it are expected to be very high. To strike a middle ground, we suggest a combination of preventive measures with strong but feasible end-of-period punishments to ensure compliance with the Kyoto emissions commitments. Such measures aim to maximize efficiency gains from emissions trading and at the same time, to minimize over-selling risks. (C) 2001 Elsevier Science Ltd. All rights reserved.",,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219972,Avoiding bio-perversity from carbon sequestration solutions,"The development of a new carbon economy has the potential to offer winwin outcomes for environments and economies. Large-scale tree plantations are expected to play a major role in carbon economies but could have negative ecological and economic consequences when key environmental values such as biodiversity conservation are not considered. We discuss three potential bio-perversitiesnegative outcomes for biodiversitythat could result from inappropriate plantation tree programs aimed solely at reducing atmospheric carbon dioxide and mitigating rapid climate change effects. These are: (1) clearing native vegetation to establish tree plantations, (2) planting trees that become invasive taxa, and (3) tree plantations negatively affecting key ecosystem processes such as fire and hydrological regimes. These bio-perversities may result from common mistakes in environmental management: (1) too narrow a focus on a single environmental value, (2) failing to adequately quantify ecological uncertainty, and (3) failing to anticipate how different groups of people respond to an environmental problem. We highlight ways to prevent possible bio-perverse outcomes in large-scale plantation programs. These include requiring that risk assessments precede project establishment, full carbon accounting is undertaken, incentives used to stimulate tree plantation establishment are rigorously examined, and rigorous compliance and ecological monitoring is undertaken.",1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777157,The Green Climate Fund as an effective compensatory mechanism in global climate negotiations,"The Paris Agreement reached during the COP21 in December 2015 represents a timid step towards burden sharing in emission mitigation involving all countries. However, given the heterogeneity of countries and their relative differences in vulnerability to climate change damage and in mitigation costs, compensating schemes are required to reach an effective agreement. This paper investigates the role of the Green Climate Fund (GCF) as a potential compensating measure for both adaptation and mitigation actions under a global climate regime. A dynamic climate-economy computable general equilibrium model (GDynEP) is developed by including both a monetary valuation of climate change damage costs and two alternative methods to determine the allocation of GCF resources among receiving countries and between adaptation and mitigation contributions. Results show that, despite the high costs associated with the implementation of mitigation actions, most developing countries would face even higher costs in case of inaction. Furthermore, the preference of a country for an allocation method is strongly influenced by its characteristics and needs. Consequently, a main policy conclusion is to design country-specific sharing rules for GCF in order to maximize country participation in a global agreement.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32357,Carbon Offsets and Inequality: Social Costs and Co-Benefits in Guatemala and Sri Lanka,"The Clean Development Mechanism (CDM) of the Kyoto Protocol is designed to reduce global CO(2) emissions while transferring technology and investment to developing countries. Little evaluation has been conducted, however, regarding the efficiency of outcomes and co-benefits or the social costs generated by carbon-mitigation projects. This article presents a comparative case study of two carbon-offset projects funded by fossil-fuel based power generation companies in the United States: the first forestry project funded explicitly to offset greenhouse gas emissions, in Guatemala, and the first rural solar electrification-carbon offset finance agreement, in Sri Lanka. We demonstrate that achieving offset targets and development-related benefits from CDM projects cannot be assumed, and that social equity can be negatively impacted by CDM-type projects. As such, future offset agreements and post-Kyoto climate negotiations would benefit from closer attention to issues of context, transparency, and social equity in order to minimize the social costs of carbon emissions trading.",1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
254719,Energy and climate hand-in-hand: Financing RES-E support with carbon revenues,"In Italy, the cost of support for renewable electricity (RES-E) is largely recovered through the ""A3 surcharge"", which weighs heavily on electricity bills. Using household survey data, we show the A3 surcharge is markedly regressive. Carbon taxation in the non-ETS sector is envisaged as a means to reduce CO2 emissions cost-effectively and generate revenue to lower the A3 surcharge. A non-ETS carbon tax would be less regressive than the A3 surcharge and its cost would be more evenly distributed across households. We calculate the revenue of a (sic)20/tCO(2) non-ETS carbon tax would have allowed a cut in the A3 surcharge of about 68% in 2011, and 39% in 2012. The impact of the carbon tax plus the reduced A3 surcharge would have been less regressive, but the cost higher for most households. The restrictions imposed in the simulations mean the results are only appropriate to render first-round effects of the reform. Policy relevance: In the vast majority of the EU Member States, the cost of RES-E support is largely paid by electricity consumers, most often through specific surcharges. Rising electricity prices are a common concern given the implications for competitiveness and equity. The Member States facing this issue could conveniently address it through environmental tax reforms consistent with the Climate and Energy Package. Replacing RES-E surcharges with carbon taxes in the non-ETS sector would permit cost-effective reduction of CO2 emissions while allocating the cost of RES-E support more equitably. The difference in regressivity would stem from the different consumption patterns of home fuels (including electricity) and motor fuels across income distribution. A cross-country comparison of energy household budget shares proves the structural nature of this difference between home fuels and motor fuels. Moreover, the notion that electricity consumers should pay for RES-E support is questioned on the grounds that electricity is a basic necessity good and RES-E support is a means of providing public goods, notably energy security and climate protection. (C) 2015 Elsevier Ltd. All rights reserved.",,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
386176,What should we expect from innovation? A model-based assessment of the environmental and mitigation cost implications of climate-related R&D,"This paper addresses two basic issues related to technological innovation and climate stabilization objectives: can innovation policies be effective in stabilizing climate? To what extent can innovation policies complement carbon pricing (taxes or permit trading) and improve the economic efficiency of a mitigation policy package? To answer these questions, we use an integrated assessment model with multiple externalities and an endogenous representation of the technical progress in the energy sector. We evaluate a range of innovation policies, both as stand-alone and in combination with other mitigation policies. Our analysis indicates that innovation policies alone are unlikely to stabilize global concentration and temperature. As for the benefits of combining climate and innovation policies, we find efficiency gains of 10% (6 USD Trillions in net present value terms) for a stringent climate policy, and 30% (3 USD Trillions) for a milder one. However, such gains are reduced when more plausible (sub-optimal) global innovation policy arrangements are considered. (C) 2011 Elsevier B.V. All rights reserved.",1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1808191,Analysis of Government Regulation on China's Energy Management,"In recent years, China's steady and fast economic development has promoted energy production and consumption growth. In the circumstances of global warming and low carbon economy, our country is under the pressure of the energy market reform and energy saving and emission reduction, so effective energy management is critical. Though China has made energy management reforms for several times, there are still many problems in government regulation in the aspects of the concept, system, method, etc. In the increasingly fierce international energy competition, in order to solve the problem of energy management effectiveness, it is important to further improve the legal norms of government regulation, set up independent regulatory agencies to strengthen supervision, and integrated use scientific and effective regulation means such as price regulation, incentive measures and mandatory measures.",,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
